127.0.0.1 - - [07/Jan/2022:10:17:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:20:32 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:11:34 +0900] "GET /jsp/ex12_one.jsp HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:11:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:14:34 +0900] "GET /jsp/ex12_one.jsp HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:14:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:14:55 +0900] "GET /jsp/ex12_one.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:14:55 +0900] "GET /jsp/asset/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:14:55 +0900] "GET /jsp/asset/js/jquery-1.12.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:14:55 +0900] "GET /jsp/asset/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:15:02 +0900] "GET /jsp/asset/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:17:17 +0900] "GET /jsp/ex12_one.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:17:20 +0900] "GET /jsp/ex12_one.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:17:20 +0900] "GET /jsp/ex12_one.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:17:20 +0900] "GET /jsp/ex12_one.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:19:54 +0900] "GET /jsp/ex12_one.jsp HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:19:57 +0900] "GET /jsp/ex12_two.jsp HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:20:20 +0900] "GET /jsp/ex12_two.jsp HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:21:12 +0900] "GET /jsp/ex12_two.jsp HTTP/1.1" 500 2255
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:21:56 +0900] "GET /jsp/ex12_two.jsp HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:30:19 +0900] "GET /jsp/ex12_two.jsp HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:30:20 +0900] "GET /jsp/ex12_two.jsp HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:30:57 +0900] "GET /jsp/ex12_one.jsp HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:30:58 +0900] "GET /jsp/ex12_one.jsp HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:44:50 +0900] "GET /jsp/ex12_three.jsp HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:47:18 +0900] "GET /jsp/ex12_three.jsp HTTP/1.1" 500 3277
0:0:0:0:0:0:0:1 - - [07/Jan/2022:14:47:32 +0900] "GET /jsp/ex12_three.jsp HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:29:17 +0900] "GET /jsp/ex13_cookie.jsp HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:29:22 +0900] "GET /jsp/asset/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:30:26 +0900] "GET /jsp/ex13_cookie.jsp HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:30:32 +0900] "GET /jsp/asset/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:39:11 +0900] "GET /jsp/ex14_cookie.jsp HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:39:16 +0900] "GET /jsp/asset/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:39:29 +0900] "GET /jsp/ex14_cookie.jsp HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:42:17 +0900] "GET /jsp/ex14_cookie.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:44:29 +0900] "GET /jsp/ex14_cookie.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:45:21 +0900] "GET /jsp/ex14_cookie.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:45:32 +0900] "GET /jsp/ex14_cookie.jsp HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:46:55 +0900] "GET /jsp/ex14_cookie.jsp HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:48:15 +0900] "GET /jsp/asset/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:50:24 +0900] "GET /jsp/ex14_cookie.jsp HTTP/1.1" 200 1392
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:50:24 +0900] "GET /jsp/asset/js/cookie.js HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:50:30 +0900] "GET /jsp/ex14_cookie.jsp HTTP/1.1" 200 1392
